year,role,course_name,course_type,place,description,url
2025,Laboratory Tutor,Software development for IT applications,"Bachelor degree in 'Innovazione sociale comunicazione, nuove tecnologie'", Torino (Italy),,https://www.didattica-cps.unito.it/do/storicocorsi.pl/Show?_id=gt4d_2425
2024,Laboratory Tutor,Software development for IT applications,"Bachelor degree in 'Innovazione sociale comunicazione, nuove tecnologie'", Torino (Italy),,https://www.didattica-cps.unito.it/do/storicocorsi.pl/Show?_id=gt4d_2324
